Sample ID	number of reads	read length	size
ERR009309	12.1M	108x2	2.1Gb
ERR013127	23.0M	108x2	2.3Gb
ERR013138	30.0M	108x2	4.3Gb
ERR045708	43.7M	90x2	5.7Gb
ERR050158	19.8M	100x2	2.0Gb
ERR162843	28.0M	100x2	2.3Gb
ERR181410	22.3M	100x2	2.1Gb
ERR183377	18.4M	100x2	1.7Gb
SRR061640	19.0M	100x2	2.0Gb
SRR360549	24.4M	100x2	2.9Gb
