Year,Aligner,Application,Indexing,Global Alignment,Pairwise Alignment,Wrapper
2015,HISAT2,DNA,BWT-FM,Backward Search,Hamming Distance,N
2016,NanoBLASTer,DNA,Hashing,Chain of Seeds,Global,N
2016,ERNE,DNA,Hashing,Seed,Hamming Distance,N
2016,rHAT,DNA,Hashing,Seed,Local,N
2016,minimap,DNA,Hashing,Seed,Global,N
2016,GraphMap,DNA,Hashing,Seed,Semi-Global,N
2018,NGMLR,DNA,Hashing,Seed,Local,N
2018,lordFAST,DNA,Hashing,Seed,Global,N
2018,minimap2,DNA/RNA-Seq,Hashing,Seed,Global,N
2018,Magic-BLAST,DNA/RNA-Seq,Hashing,Seed,Local,N
2010,MicroRazerS,miRNA,Hashing,Seed,Hamming Distance,N
2008,QPALMA,RNA-Seq,Suffix Array,Seed,Local,Y
2009,TopHat,RNA-Seq,BWT-FM,Backward Search,Hamming Distance,Y
2010,MapSplice,RNA-Seq,BWT-FM,Backward Search,Hamming Distance,Y
2010,SpliceMap,RNA-Seq,Hashing,Seed,Hamming Distance,Y
2010,Supersplat,RNA-Seq,Hashing,Seed,NA,N
2011,SOAPSplice,RNA-Seq,BWT-FM,Seed,Non-DP Heuristic,N
2012,OSA,RNA-Seq,Hashing,Chain of Seeds,NA,N
2012,Passion,RNA-Seq,Hashing,Seed,Local,Y
2013,CRAC,RNA-Seq,BWT-FM,Seed,Non-DP Heuristic,N
2013,STAR,RNA-Seq,Suffix Array,Seed,Local,N
2013,Subread,RNA-Seq,Hashing,Seed,Local,N
2013,TopHat 2,RNA-Seq,BWT-FM,Seed,Local & Global,Y
2014,JAGuaR,RNA-Seq,BWT-FM,Backward Search,Local,Y
2015,ContextMap 2,RNA-Seq,BWT-FM,Backward Search,"Based on the Wrapper, Local and Global",Y
2015,HISAT,RNA-Seq,BWT-FM,Backward Search,Hamming Distance,N
2017,DART,RNA-Seq,BWT-FM,Backward Search,Global,N
2019,deSALT,RNA-seq,Hashing,Seed,Local,N
2009,BRAT,BS-Seq,Hashing,Seed,Hamming Distance,N
2009,BSMAP,BS-Seq,Hashing,Seed,Hamming Distance,N
2010,BS-Seeker,BS-Seq,BWT-FM,Backward Search,Hamming Distance,Y
2011,Bismark,BS-Seq,BWT-FM,Backward Search,Hamming Distance,Y
2012,BRAT-BW,BS-Seq,BWT-FM,Backward Search,Hamming Distance,N
2013,BS-Seeker2,BS-Seq,BWT-FM,Backward Search,Local & Global,Y
